id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:21dffdae-cabeabe7 University Centre HW Main Meter Entering Water Temp,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,AI9,✓,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,✓,"",ok,70.79999542236328°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:21542b55-f6d147d3 University Centre HW Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,0.5°C,10min,2020-05-12T20:40:00-07:00 Los_Angeles,"",consumption,202931,2018-01-25T17:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.423Z UTC
@p:ubcv:r:21542b55-39c4e4fe University Centre HW Main Meter Energy,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,AI1,✓,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,✓,MWh => kWh,ok,3022579.833984375kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:21542b55-f6d147d3 University Centre HW Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,"",15min,2020-05-12T20:45:00-07:00 Los_Angeles,"",consumption,146110,2016-02-24T13:15:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"","",10364,✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,521,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.424Z UTC
@p:ubcv:r:263b76c0-28926fea University Centre Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,32.72043991088867kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:21542b55-88c1442f University Centre Elec Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,5kW,15min,2020-05-12T20:49:11-07:00 Los_Angeles,"","",437096,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Uni_Ctr_344.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,70,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.897Z UTC
@p:ubcv:r:21dffdae-2570ca41 University Centre HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,AI10,✓,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,✓,"",ok,50.96999740600586°C,"","",$equipRef $navName,"","","",@p:ubcv:r:21542b55-f6d147d3 University Centre HW Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,0.5°C,10min,2020-05-12T20:40:00-07:00 Los_Angeles,"",consumption,222281,2018-01-25T17:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.425Z UTC
@p:ubcv:r:21542b55-4de409d4 University Centre HW Main Meter Power,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,AI5,✓,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:21542b55-f6d147d3 University Centre HW Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,5kW,15min,2020-05-12T20:45:00-07:00 Los_Angeles,"","",530635,2016-05-05T14:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.898Z UTC
@p:ubcv:r:21dffdae-f806ac71 University Centre HW Main Meter Flow,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,AI4,✓,@p:ubcv:r:21cad71f-93bf7249 LTKUC DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:21542b55-f6d147d3 University Centre HW Main Meter,✓,@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,0.25L/s,10min,2020-05-12T20:44:04-07:00 Los_Angeles,"",consumption,197549,2018-01-25T17:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:35.427Z UTC
@p:ubcv:r:263b76c1-685f0de7 University Centre Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,6029242.5kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:21542b55-88c1442f University Centre Elec Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,"",15min,2020-05-12T20:45:00-07:00 Los_Angeles,"",consumption,328413,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Uni_Ctr_344.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,70,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.348Z UTC
@p:ubcv:r:263b76bf-001c00cd University Centre Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,0m³,"","",$equipRef $navName,"","","",@p:ubcv:r:21542b55-38c37685 University Centre Water Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,"",15min,2020-05-12T20:45:00-07:00 Los_Angeles,"",consumption,328413,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Uni_Ctr_344.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:21542b55-8bfdaa5f University Centre,148,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.34Z UTC
@p:ubcv:r:2388a048-299d9039 University Centre HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:21542b55-f6d147d3 University Centre HW Main Meter,"",@p:ubcv:r:21697fca-04bbe8e8 University Centre Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:21542b55-8bfdaa5f University Centre,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.428Z UTC
